id,name,description
CLANG_CXX_LIBRARY,C++ Standard Library,"Choose a version of the C++ standard library to use.

- _libstdc++:_ A traditional C++ standard library that works with GCC and Clang (default).

- _libc++:_ A highly optimized C++ standard library that works only with Clang, and is designed to support new C++11 features."
CLANG_ENABLE_OBJC_ARC,Objective-C Automatic Reference Counting,"Compiles reference-counted Objective-C code (when garbage collection is not enabled) to use Automatic Reference Counting. Code compiled using automated reference counting is compatible with other code (such as frameworks) compiled using either manual reference counting (for example, traditional `retain` and `release` messages) or automated reference counting. Using this mode is currently incompatible with compiling code to use Objective-C Garbage Collection."
CLANG_ENABLE_OBJC_WEAK,Weak References in Manual Retain Release,Compiles Objective-C code to enable weak references for code compiled with manual retain release (MRR) semantics.
CLANG_LINK_OBJC_RUNTIME,Implicitly Link Objective-C Runtime Support,"When linking a target using Objective-C code, implicitly link in Foundation (and if deploying back to an older OS) a backwards compatibility library to allow newer language features to run on an OS where the runtime support is not natively available. Most targets that use Objective-C should use this, although there are rare cases where a target should opt out of this behavior."
CLANG_ENABLE_MODULES,Enable Modules (C and Objective-C),Enables the use of modules for system APIs. System headers are imported as semantic modules instead of raw headers. This can result in faster builds and project indexing.
CLANG_ENABLE_MODULE_DEBUGGING,Enable Clang Module Debugging,"When this setting is enabled, `clang` will use the shared debug info available in `clang` modules and precompiled headers. This results in smaller build artifacts, faster compile times, and more complete debug info. This setting should only be disabled when building static libraries with debug info for distribution."
CLANG_DEBUG_MODULES,,
CLANG_MODULE_CACHE_PATH,,
CLANG_MODULE_LSV,,
CLANG_MODULES_AUTOLINK,Link Frameworks Automatically,Automatically link SDK frameworks that are referenced using `#import` or `#include`. This feature requires also enabling support for modules. This build setting only applies to C-family languages.
CLANG_MODULES_DISABLE_PRIVATE_WARNING,Disable Private Modules Warnings,Disable warnings related to the recommended use of private module naming. This only makes sense when support for modules is enabled.
CLANG_MODULES_PRUNE_INTERVAL,,
CLANG_MODULES_PRUNE_AFTER,,
CLANG_MODULES_IGNORE_MACROS,,
CLANG_MODULES_VALIDATE_SYSTEM_HEADERS,,
CLANG_MODULES_BUILD_SESSION_FILE,,
CLANG_ALLOW_NON_MODULAR_INCLUDES_IN_FRAMEWORK_MODULES,Allow Non-modular Includes In Framework Modules,"Enabling this setting allows non-modular includes to be used from within framework modules. This is inherently unsafe, as such headers might cause duplicate definitions when used by any client that imports both the framework and the non-modular includes."
CLANG_ENABLE_MODULE_IMPLEMENTATION_OF,,
CLANG_ENABLE_APP_EXTENSION,,
GCC_CHAR_IS_UNSIGNED_CHAR,'char' Type Is Unsigned,"Enabling this setting causes `char` to be unsigned by default, disabling it causes `char` to be signed by default."
GCC_ENABLE_ASM_KEYWORD,"Allow 'asm', 'inline', 'typeof'","Controls whether `asm`, `inline`, and `typeof` are treated as keywords or whether they can be used as identifiers."
GCC_ENABLE_BUILTIN_FUNCTIONS,Recognize Builtin Functions,"Controls whether builtin functions that do not begin with `__builtin_` as prefix are recognized.

GCC normally generates special code to handle certain builtin functions more efficiently; for instance, calls to `alloca` may become single instructions that adjust the stack directly, and calls to `memcpy` may become inline copy loops. The resulting code is often both smaller and faster, but since the function calls no longer appear as such, you cannot set a breakpoint on those calls, nor can you change the behavior of the functions by linking with a different library. In addition, when a function is recognized as a builtin function, GCC may use information about that function to warn about problems with calls to that function, or to generate more efficient code, even if the resulting code still contains calls to that function. For example, warnings are given with `-Wformat` for bad calls to `printf`, when `printf` is built in, and `strlen` is known not to modify global memory."
GCC_ENABLE_TRIGRAPHS,Enable Trigraphs,Controls whether or not trigraphs are permitted in the source code.
GCC_ENABLE_CPP_EXCEPTIONS,Enable C++ Exceptions,"Enable C++ exception handling. Generates extra code needed to propagate exceptions. For some targets, this implies GCC will generate frame unwind information for all functions, which can produce significant data size overhead, although it does not affect execution. If you do not specify this option, GCC will enable it by default for languages like C++ that normally require exception handling, and disable it for languages like C that do not normally require it. However, you may need to enable this option when compiling C code that needs to interoperate properly with exception handlers written in C++."
GCC_ENABLE_CPP_RTTI,Enable C++ Runtime Types,"Enable generation of information about every class with virtual functions for use by the C++ runtime type identification features (`dynamic_cast` and `typeid`). If you don't use those parts of the language, you can save some space by using this flag. Note that exception handling uses the same information, but it will generate it as needed."
GCC_ENABLE_PASCAL_STRINGS,Recognize Pascal Strings,"Recognize and construct Pascal-style string literals. Its use in new code is discouraged.

Pascal string literals take the form `""\pstring""` . The special escape sequence `\p` denotes the Pascal length byte for the string, and will be replaced at compile time with the number of characters that follow. The `\p` may only appear at the beginning of a string literal, and may not appear in wide string literals or as an integral constant."
GCC_SHORT_ENUMS,Short Enumeration Constants,"Make enums only as large as needed for the range of possible values.

This setting generates code that may not binary compatible with code generated without this setting or with macOS frameworks."
GCC_LINK_WITH_DYNAMIC_LIBRARIES,Enable Linking With Shared Libraries,Enabling this option allows linking with the shared libraries. This is the default for most product types.
GCC_ENABLE_FLOATING_POINT_LIBRARY_CALLS,Generate Floating Point Library Calls,Generate output containing library calls for floating point.
CLANG_ENABLE_CPP_STATIC_DESTRUCTORS,Destroy Static Objects,Controls whether variables with static or thread storage duration should have their exit-time destructors run.
GCC_PREFIX_HEADER,Prefix Header,Implicitly include the named header. The path given should either be a project relative path or an absolute path.
GCC_PRECOMPILE_PREFIX_HEADER,Precompile Prefix Header,"Generates a precompiled header for the prefix header, which should reduce overall build times.

Precompiling the prefix header will be most effective if the contents of the prefix header or any file it includes change rarely. If the contents of the prefix header or any file it includes change frequently, there may be a negative impact to overall build time."
GCC_INCREASE_PRECOMPILED_HEADER_SHARING,Increase Sharing of Precompiled Headers,"Enabling this option will enable increased sharing of precompiled headers among targets that share the same prefix header and precompiled header directory.

Xcode distinguishes between precompiled header (PCH) files by generating a hash value based on the command-line options to the compiler used to create the PCH. Enabling this option will exclude certain compiler options from that hash. Presently this option will exclude search path options (`-I`, `-iquote`, `-isystem`, `-F`, `-L`) from the hash.

Enabling increased sharing of PCH files carries some risk—if two targets use the same prefix header but have different include paths that cause the prefix header to include different files when they are precompiled, then subtle problems may result because one target will use a PCH that was built using files included by the other target. In this case, this option must be turned off in order to enforce correctness."
OTHER_CFLAGS,Other C Flags,"Space-separated list of additional flags to pass to the compiler for C and Objective-C files. Be sure to backslash-escape any arguments that contain spaces or special characters, such as path names that may contain spaces. Use this setting if Xcode does not already provide UI for a particular C or Objective-C compiler flag."
OTHER_CPLUSPLUSFLAGS,Other C++ Flags,"Space-separated list of additional flags to pass to the compiler for C++ and Objective-C++ files. Be sure to backslash-escape any arguments that contain spaces or special characters, such as path names that may contain spaces. Use this setting if Xcode does not already provide UI for a C++ or Objective-C++ compiler flag."
GCC_GENERATE_DEBUGGING_SYMBOLS,Generate Debug Symbols,"Enables or disables generation of debug symbols. When debug symbols are enabled, the level of detail can be controlled by the [Debug Information Format (DEBUG\_INFORMATION\_FORMAT)](itcaec37c2a6.html#dev881878d77) setting."
GCC_OPTIMIZATION_LEVEL,Optimization Level,"Specifies the degree to which the generated code is optimized for speed and binary size.

- _None:_ Do not optimize. `-O0` With this setting, the compiler's goal is to reduce the cost of compilation and to make debugging produce the expected results. Statements are independent—if you stop the program with a breakpoint between statements, you can then assign a new value to any variable or change the program counter to any other statement in the function and get exactly the results you would expect from the source code.

- _Fast:_ Optimizing compilation takes somewhat more time, and a lot more memory for a large function. `-O1` With this setting, the compiler tries to reduce code size and execution time, without performing any optimizations that take a great deal of compilation time. In Apple's compiler, strict aliasing, block reordering, and inter-block scheduling are disabled by default when optimizing.

- _Faster:_ The compiler performs nearly all supported optimizations that do not involve a space-speed tradeoff. `-O2` With this setting, the compiler does not perform loop unrolling or function inlining, or register renaming. As compared to the `Fast` setting, this setting increases both compilation time and the performance of the generated code.

- _Fastest:_ Turns on all optimizations specified by the `Faster` setting and also turns on function inlining and register renaming options. This setting may result in a larger binary. `-O3`

- _Fastest, Smallest:_ Optimize for size. This setting enables all `Faster` optimizations that do not typically increase code size. It also performs further optimizations designed to reduce code size. `-Os`

- _Fastest, Aggressive Optimizations:_ This setting enables `Fastest` but also enables aggressive optimizations that may break strict standards compliance but should work well on well-behaved code. `-Ofast`

- _Smallest, Aggressive Size Optimizations:_ This setting enables additional size savings by isolating repetitive code patterns into a compiler generated function. `-Oz`"
LLVM_OPTIMIZATION_LEVEL_VAL_0,,
LLVM_OPTIMIZATION_LEVEL_VAL_1,,
LLVM_OPTIMIZATION_LEVEL_VAL_2,,
LLVM_OPTIMIZATION_LEVEL_VAL_3,,
LLVM_OPTIMIZATION_LEVEL_VAL_s,,
LLVM_OPTIMIZATION_LEVEL_VAL_fast,,
LLVM_OPTIMIZATION_LEVEL_VAL_z,,
LLVM_IMPLICIT_AGGRESSIVE_OPTIMIZATIONS,,
LLVM_LTO,Link-Time Optimization,"Enabling this setting allows optimization across file boundaries during linking.

- _No:_ Disabled. Do not use link-time optimization.

- _Monolithic Link-Time Optimization:_ This mode performs monolithic link-time optimization of binaries, combining all executable code into a single unit and running aggressive compiler optimizations.

- _Incremental Link-Time Optimization:_ This mode performs partitioned link-time optimization of binaries, inlining between compilation units and running aggressive compiler optimizations on each unit in parallel. This enables fast incremental builds and uses less memory than Monolithic LTO."
GCC_NO_COMMON_BLOCKS,No Common Blocks,"In C, allocate even uninitialized global variables in the data section of the object file, rather than generating them as common blocks. This has the effect that if the same variable is declared (without `extern`) in two different compilations, you will get an error when you link them."
GCC_REUSE_STRINGS,Make Strings Read-Only,Reuse string literals.
GCC_DYNAMIC_NO_PIC,Generate Position-Dependent Code,"Faster function calls for applications. Not appropriate for shared libraries, which need to be position-independent."
GCC_ENABLE_KERNEL_DEVELOPMENT,Kernel Development Mode,Activating this setting enables kernel development mode.
GCC_TREAT_WARNINGS_AS_ERRORS,Treat Warnings as Errors,Enabling this option causes all warnings to be treated as errors.
GCC_TREAT_IMPLICIT_FUNCTION_DECLARATIONS_AS_ERRORS,Treat Missing Function Prototypes as Errors,Causes warnings about missing function prototypes to be treated as errors. Only applies to C and Objective-C.
GCC_TREAT_INCOMPATIBLE_POINTER_TYPE_WARNINGS_AS_ERRORS,Treat Incompatible Pointer Type Warnings as Errors,Enabling this option causes warnings about incompatible pointer types to be treated as errors.
GCC_WARN_ABOUT_MISSING_FIELD_INITIALIZERS,Missing Fields in Structure Initializers,"Warn if a structure's initializer has some fields missing. For example, the following code would cause such a warning because `x.h` is implicitly zero:

`struct s { int f, g, h; };``struct s x = { 3, 4 };`

This option does not warn about designated initializers, so the following modification would not trigger a warning:

`struct s { int f, g, h; };``struct s x = { .f = 3, .g = 4 };`"
GCC_WARN_ABOUT_MISSING_PROTOTYPES,Missing Function Prototypes,Causes warnings to be emitted about missing prototypes.
GCC_WARN_ABOUT_RETURN_TYPE,Mismatched Return Type,Causes warnings to be emitted when a function with a defined return type (not `void`) contains a return statement without a return-value or when it does not contain any return statements. Also emits a warning when a function with a void return type tries to return a value.
CLANG_WARN_DOCUMENTATION_COMMENTS,Documentation Comments,Warns about issues in documentation comments (`doxygen`-style) such as missing or incorrect documentation tags.
CLANG_WARN_UNREACHABLE_CODE,Unreachable Code,Warns about potentially unreachable code.
CLANG_WARN_QUOTED_INCLUDE_IN_FRAMEWORK_HEADER,Quoted Include In Framework Header,Warns when a quoted include is used instead of a framework style include in a framework header.
CLANG_WARN_NULLABLE_TO_NONNULL_CONVERSION,Incorrect Uses of Nullable Values,"Warns when a nullable expression is used somewhere it’s not allowed, such as when passed as a `_Nonnull` parameter."
CLANG_WARN_OBJC_IMPLICIT_ATOMIC_PROPERTIES,Implicit Atomic Objective-C Properties,Warn about `@property` declarations that are implicitly atomic.
CLANG_WARN_DIRECT_OBJC_ISA_USAGE,Direct usage of 'isa',Warn about direct accesses to the Objective-C `isa` pointer instead of using a runtime API.
CLANG_WARN_OBJC_INTERFACE_IVARS,Interface Declarations of Instance Variables,Warn about instance variable declarations in `@interface`.
CLANG_WARN_OBJC_MISSING_PROPERTY_SYNTHESIS,Implicit Synthesized Properties,"Starting in Xcode 4.4, Apple Clang will implicitly synthesize properties that are not explicitly synthesized using `@synthesize`. This setting warns about such implicit behavior, even though the property is still synthesized. This is essentially a backwards compatibility warning, or for those who wish to continue to explicitly use `@synthesize`."
CLANG_WARN_OBJC_ROOT_CLASS,Unintentional Root Class,"Warn about classes that unintentionally do not subclass a root class, such as `NSObject`."
CLANG_WARN_OBJC_REPEATED_USE_OF_WEAK,Repeatedly using a __weak reference,"Warn about repeatedly using a weak reference without assigning the weak reference to a strong reference. This is often symptomatic of a race condition where the weak reference can become `nil` between accesses, resulting in unexpected behavior. Assigning to temporary strong reference ensures the object stays alive during the related accesses."
CLANG_WARN_OBJC_EXPLICIT_OWNERSHIP_TYPE,Implicit ownership types on out parameters,"Warn about implicit ownership types on Objective-C object references as out parameters. For example, declaring a parameter with type `NSObject**` will produce a warning because the compiler will assume that the out parameter's ownership type is `__autoreleasing`."
CLANG_WARN_OBJC_IMPLICIT_RETAIN_SELF,Implicit retain of 'self' within blocks,"Warn about implicit retains of `self` within blocks, which can create a retain-cycle."
GCC_WARN_NON_VIRTUAL_DESTRUCTOR,Nonvirtual Destructor,"Warn when a class declares an nonvirtual destructor that should probably be virtual, because it looks like the class will be used polymorphically. This is only active for C++ or Objective-C++ sources."
GCC_WARN_HIDDEN_VIRTUAL_FUNCTIONS,Overloaded Virtual Functions,"Warn when a function declaration hides virtual functions from a base class.

For example, in the following example, the `A` class version of `f()` is hidden in `B`.

`struct A {`` virtual void f();``};``struct B: public A {`` void f(int);``};`

As a result, the following code will fail to compile.

`B* b;``b-&gt;f();`

This setting only applies to C++ and Objective-C++ sources."
CLANG_WARN__EXIT_TIME_DESTRUCTORS,Exit-Time C++ Destructors,Warn about destructors for C++ objects that are called when an application is terminating.
CLANG_WARN__ARC_BRIDGE_CAST_NONARC,Using __bridge Casts Outside of ARC,"Warn about using `__bridge` casts when not using ARC, where they have no effect."
CLANG_WARN__DUPLICATE_METHOD_MATCH,Duplicate Method Definitions,Warn about declaring the same method more than once within the same `@interface`.
GCC_WARN_TYPECHECK_CALLS_TO_PRINTF,Typecheck Calls to printf/scanf,"Check calls to `printf` and `scanf` to make sure that the arguments supplied have types appropriate to the format string specified, and that the conversions specified in the format string make sense."
GCC_WARN_INITIALIZER_NOT_FULLY_BRACKETED,Initializer Not Fully Bracketed,"Warn if an aggregate or union initializer is not fully bracketed. In the following example, the initializer for `a` is not fully bracketed, but the initializer for `b` is fully bracketed.

`int a`2``2` = { 0, 1, 2, 3 };``int b`2``2` = { { 0, 1 }, { 2, 3 } };`"
GCC_WARN_MISSING_PARENTHESES,Missing Braces and Parentheses,"Warn if parentheses are omitted in certain contexts, such as when there is an assignment in a context where a truth value is expected, or when operators are nested whose precedence causes confusion. Also, warn about constructions where there may be confusion as to which `if` statement an `else` branch belongs. For example:

`{`` if (a)`` if (b)`` foo ();`` else`` bar ();``}`

In C, every `else` branch belongs to the innermost possible `if` statement, which in the example above is `if (b)`. This is often not what the programmer expects, as illustrated by indentation used in the example above. This build setting causes GCC to issue a warning when there is the potential for this confusion. To eliminate the warning, add explicit braces around the innermost `if` statement so there is no way the `else` could belong to the enclosing `if`. For example:

`{`` if (a)`` {`` if (b)`` foo ();`` else`` bar ();`` }``}`"
GCC_WARN_CHECK_SWITCH_STATEMENTS,Check Switch Statements,Warn whenever a switch statement has an index of enumeral type and lacks a case for one or more of the named codes of that enumeration. The presence of a default label prevents this warning. Case labels outside the enumeration range also provoke warnings when this option is used.
GCC_WARN_UNUSED_FUNCTION,Unused Functions,Warn whenever a static function is declared but not defined or a noninline static function is unused.
GCC_WARN_UNUSED_LABEL,Unused Labels,Warn whenever a label is declared but not used.
CLANG_WARN_EMPTY_BODY,Empty Loop Bodies,Warn about loop bodies that are suspiciously empty.
GCC_WARN_UNINITIALIZED_AUTOS,Uninitialized Variables,"Warn if a variable might be clobbered by a `setjmp` call or if an automatic variable is used without prior initialization.

The compiler may not detect all cases where an automatic variable is initialized or all usage patterns that may lead to use prior to initialization. You can toggle between the normal uninitialized value checking or the more aggressive (conservative) checking, which finds more issues but the checking is much stricter."
GCC_WARN_UNKNOWN_PRAGMAS,Unknown Pragma,"Warn when a `#pragma` directive is encountered that is not understood by GCC. If this command line option is used, warnings will even be issued for unknown pragmas in system header files. This is not the case if the warnings were only enabled by the `-Wall` command-line option."
GCC_WARN_INHIBIT_ALL_WARNINGS,Inhibit All Warnings,Inhibit all warning messages.
GCC_WARN_PEDANTIC,Pedantic Warnings,"Issue all the warnings demanded by strict ISO C and ISO C++; reject all programs that use forbidden extensions, and some other programs that do not follow ISO C and ISO C++. For ISO C, follows the version of the ISO C standard specified by any `-std` option used."
GCC_WARN_SHADOW,Hidden Local Variables,"Warn whenever a local variable shadows another local variable, parameter or global variable or whenever a builtin function is shadowed."
GCC_WARN_FOUR_CHARACTER_CONSTANTS,Four Character Literals,"Warn about four-char literals (for example, macOS-style `OSTypes`: `'APPL'`)."
CLANG_WARN_SUSPICIOUS_IMPLICIT_CONVERSION,Suspicious Implicit Conversions,Warn about various implicit conversions that can lose information or are otherwise suspicious.
CLANG_WARN_CONSTANT_CONVERSION,Implicit Constant Conversions,"Warn about implicit conversions of constant values that cause the constant value to change, either through a loss of precision, or entirely in its meaning."
CLANG_WARN_INT_CONVERSION,Implicit Integer to Pointer Conversions,"Warn about implicit conversions between pointers and integers. For example, this can catch issues when one incorrectly intermixes using `NSNumber*`'s and raw integers."
CLANG_WARN_BOOL_CONVERSION,Implicit Boolean Conversions,"Warn about implicit conversions to boolean values that are suspicious. For example, writing `if (foo)` where `foo` is the name a function will trigger a warning."
CLANG_WARN_ENUM_CONVERSION,Implicit Enum Conversions,"Warn about implicit conversions between different kinds of enum values. For example, this can catch issues when using the wrong enum flag as an argument to a function or method."
CLANG_WARN_FLOAT_CONVERSION,Implicit Float Conversions,Warn about implicit conversions that turn floating-point numbers into integers.
CLANG_WARN_NON_LITERAL_NULL_CONVERSION,Implicit Non-Literal Null Conversions,Warn about non-literal expressions that evaluate to zero being treated as a null pointer.
CLANG_WARN_OBJC_LITERAL_CONVERSION,Implicit Objective-C Literal Conversions,Warn about implicit conversions from Objective-C literals to values of incompatible type.
CLANG_WARN_MISSING_NOESCAPE,Missing Noescape Annotation,Warn about noescape annotations that are missing in a method's signature.
CLANG_WARN_PRAGMA_PACK,Suspicious Pragma Pack,Warn when a translation unit is missing terminating '#pragma pack (pop)' directives or when the '#pragma pack' state immediately after an #include is different from the state immediately before.
CLANG_WARN_PRIVATE_MODULE,Outdated Private Module Map,Warn about private modules that do not use the recommended private module layout.
CLANG_WARN_VEXING_PARSE,Ambiguous C++ Parsing Situation,Warn about a parsing ambiguity between a variable declaration and a function-style cast.
CLANG_WARN_DELETE_NON_VIRTUAL_DTOR,Deleting Instance of Polymorphic Class with No Virtual Destructor,Warn when deleting an instance of a polymorphic class with virtual functions but without a virtual destructor.
CLANG_WARN_ASSIGN_ENUM,Out-of-Range Enum Assignments,Warn about assigning integer constants to enum values that are out of the range of the enumerated type.
GCC_WARN_SIGN_COMPARE,Sign Comparison,Warn when a comparison between signed and unsigned values could produce an incorrect result when the signed value is converted to unsigned.
GCC_WARN_MULTIPLE_DEFINITION_TYPES_FOR_SELECTOR,,
GCC_WARN_STRICT_SELECTOR_MATCH,Strict Selector Matching,"Warn if multiple methods with differing argument and/or return types are found for a given selector when attempting to send a message using this selector to a receiver of type `id` or `Class`. When this setting is disabled, the compiler will omit such warnings if any differences found are confined to types that share the same size and alignment."
GCC_WARN_UNDECLARED_SELECTOR,Undeclared Selector,"Warn if a `@selector(...)` expression referring to an undeclared selector is found. A selector is considered undeclared if no method with that name has been declared before the `@selector(...)` expression, either explicitly in an `@interface` or `@protocol` declaration, or implicitly in an `@implementation` section. This option always performs its checks as soon as a `@selector(...)` expression is found, while `-Wselector` only performs its checks in the final stage of compilation. This also enforces the coding style convention that methods and selectors must be declared before being used."
CLANG_WARN_DEPRECATED_OBJC_IMPLEMENTATIONS,Overriding Deprecated Objective-C Methods,Warn if an Objective-C class either subclasses a deprecated class or overrides a method that has been marked deprecated or unavailable.
CLANG_WARN_CXX0X_EXTENSIONS,Using C++11 extensions in earlier versions of C++,"When compiling C++ code using a language standard older than C++11, warn about the use of C++11 extensions."
CLANG_WARN_ATOMIC_IMPLICIT_SEQ_CST,Usage of implicit sequentially-consistent atomics,"Warns when an atomic is used with an implicitly sequentially-consistent memory order, instead of explicitly specifying memory order."
CLANG_TRIVIAL_AUTO_VAR_INIT,Trivial automatic variable initialization,"Specify whether stack variables should be uninitialized, which can cause inadvertent information disclosure when uninitialized stack variables are used, or whether they should be pattern-initialized."
WARNING_CFLAGS,Other Warning Flags,Space-separated list of additional warning flags to pass to the compiler. Use this setting if Xcode does not already provide UI for a particular compiler warning flag.
GCC_PREPROCESSOR_DEFINITIONS,Preprocessor Macros,Space-separated list of preprocessor macros of the form `foo` or `foo=bar`.
GCC_PRODUCT_TYPE_PREPROCESSOR_DEFINITIONS,,
GCC_PREPROCESSOR_DEFINITIONS_NOT_USED_IN_PRECOMPS,Preprocessor Macros Not Used In Precompiled Headers,Space-separated list of preprocessor macros of the form `foo` or `foo=bar`. These macros are not used when precompiling a prefix header file.
ENABLE_NS_ASSERTIONS,Enable Foundation Assertions,Controls whether assertion logic provided by `NSAssert` is included in the preprocessed source code or is elided during preprocessing. Disabling assertions can improve code performance.
ENABLE_STRICT_OBJC_MSGSEND,Enable Strict Checking of objc_msgSend Calls,Controls whether `objc_msgSend` calls must be cast to the appropriate function pointer type before being called.
USE_HEADERMAP,Use Header Maps,"Enable the use of _Header Maps_, which provide the compiler with a mapping from textual header names to their locations, bypassing the normal compiler header search path mechanisms. This allows source code to include headers from various locations in the file system without needing to update the header search path build settings."
HEADERMAP_FILE_FORMAT,,
CPP_HEADERMAP_FILE,,
CPP_HEADERMAP_FILE_FOR_GENERATED_FILES,,
CPP_HEADERMAP_FILE_FOR_OWN_TARGET_HEADERS,,
CPP_HEADERMAP_FILE_FOR_ALL_TARGET_HEADERS,,
CPP_HEADERMAP_FILE_FOR_ALL_NON_FRAMEWORK_TARGET_HEADERS,,
CPP_HEADERMAP_FILE_FOR_PROJECT_FILES,,
CPP_HEADERMAP_PRODUCT_HEADERS_VFS_FILE,,
USE_HEADER_SYMLINKS,,
CPP_HEADER_SYMLINKS_DIR,,
SDKROOT,Base SDK,"The name or path of the base SDK being used during the build. The product will be built against the headers and libraries located inside the indicated SDK. This path will be prepended to all search paths, and will be passed through the environment to the compiler and linker. Additional SDKs can be specified in the [Additional SDKs (ADDITIONAL\_SDKS)](itcaec37c2a6.html#deva1a5b1b82) setting."
GCC_USE_GCC3_PFE_SUPPORT,,
GCC_PFE_FILE_C_DIALECTS,,
ENABLE_APPLE_KEXT_CODE_GENERATION,,
GCC_WARN_UNUSED_PARAMETER,Unused Parameters,Warn whenever a function parameter is unused aside from its declaration.
GCC_WARN_UNUSED_VARIABLE,Unused Variables,Warn whenever a local variable or nonconstant static variable is unused aside from its declaration.
GCC_WARN_UNUSED_VALUE,Unused Values,Warn whenever a statement computes a result that is explicitly not used.
GCC_ENABLE_EXCEPTIONS,Enable Exceptions,"Enable exception handling. Generates extra code needed to propagate exceptions. For some targets, this implies GCC will generate frame unwind information for all functions, which can produce significant data size overhead, although it does not affect execution. If you do not specify this option, GCC will enable it by default for languages like C++ and Objective-C that normally require exception handling, and disable it for languages like C that do not normally require it. However, you may need to enable this option when compiling C code that needs to interoperate properly with exception handlers written in other languages. You may also wish to disable this option if you are compiling older programs that don't use exception handling."
